CommUnits
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
"cove",,,"001-BARB","Residential","us",,,,,09/18/2016,09/18/2016,"1 Barbaree Way",,,,"Tiburon","CA","94920",5845.00,1335.000000,0,0,"2x2.5ath",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"001-CAPT","Residential","us",,,,,,03/06/2016,"1 Captains Landing",,,,"Tiburon","CA","94920",3275.00,640.000000,1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"001-CHAN","Residential","us",,,,,,08/28/2015,"1 Channel Landing",,,,"Tiburon","CA","94920",6200.00,1375.000000,1,0,"3x3-a",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"001-SALT","Residential","us",,,,,,04/27/2015,"1 Salt Landing",,,,"Tiburon","CA","94920",3175.00,640.000000,1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"001-SEAD","Residential","us",,,,,,11/20/2015,"1 Seadrift Landing",,,,"Tiburon","CA","94920",4645.00,1020.000000,1,0,"2x2-b",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"002-BARB","Residential","us",,,,,,04/14/2015,"2 Barbaree Way",,,,"Tiburon","CA","94920",3095.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"002-CAPT","Residential","us",,,,,,12/05/2014,"2 Captains Landing",,,,"Tiburon","CA","94920",3070.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"002-CHAN","Residential","us",,,,,,08/28/2015,"2 Channel Landing",,,,"Tiburon","CA","94920",4900.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"002-SALT","Residential","us",,,,,07/31/2016,07/31/2016,"2 Salt Landing",,,,"Tiburon","CA","94920",2970.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"010-CAPT","Residential","us",,,,,,12/12/2014,"10 Captains Landing",,,,"Tiburon","CA","94920",4380.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"010-CHAN","Residential","us",,,,,,08/31/2015,"10 Channel Landing",,,,"Tiburon","CA","94920",4850.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"010-GNWD","Residential","us",,,,,,07/13/2014,"10 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4775.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"010-SALT","Residential","us",,,,,,06/24/2016,"10 Salt Landing",,,,"Tiburon","CA","94920",4530.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"010-SEAD","Residential","us",,,,,,03/30/2016,"10 Seadrift Landing",,,,"Tiburon","CA","94920",6425.00,1335.000000,1,0,"3x2.5th",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-BARB","Residential","us",,,,,,01/21/2016,"11 Barbaree Way",,,,"Tiburon","CA","94920",3570.00,700.000000,1,0,"1x1-e",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-CAPT","Residential","us",,,,,,12/12/2014,"11 Captains Landing",,,,"Tiburon","CA","94920",4380.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-CHAN","Residential","us",,,,,,08/07/2016,"11 Channel Landing",,,,"Tiburon","CA","94920",4850.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-GNWD","Residential","us",,,,,,05/08/2016,"11 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4850.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-SALT","Residential","us",,,,,,04/19/2015,"11 Salt Landing",,,,"Tiburon","CA","94920",4530.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"011-SEAD","Model","us",,,,,10/27/2014,10/27/2014,"11 Seadfift Landing",,,,"Tiburon","CA","94920",4850.00,1020.000000,-1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"012-BARB","Residential","us",,,,,,08/11/2016,"12 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,1,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"012-CAPT","Residential","us",,,,,,10/30/2015,"12 Captains Landing",,,,"Tiburon","CA","94920",4380.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"012-CHAN","Residential","us",,,,,,07/06/2016,"12 Channel Landing",,,,"Tiburon","CA","94920",4845.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"012-GNWD","Residential","us",,,,,07/31/2016,07/31/2016,"12 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4850.00,1080.000000,0,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"012-SALT","Residential","us",,,,,,04/09/2014,"12 Salt Landing",,,,"Tiburon","CA","94920",4580.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
