Property_Code,Amenity_Code,Amenity_Description,Amenity_Name,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes
"lark","encpatio","Enclosed Patio","Enclosed Patio",10.00,08/01/2016,10.00,08/01/2016,10.00,08/01/2016,
"lark","ctydview","Courtyard View","Courtyard View",25.00,08/01/2016,25.00,08/01/2016,25.00,08/01/2016,
"lark","poolview","Pool View","Pool View",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","topfloor","Top Floor","Top Floor",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","parkview","Park View","Park View",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","mounview","Mountain View","Mountain View",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","walkin","Walk-in","Walk-in",25.00,09/10/2013,25.00,09/10/2013,25.00,09/10/2013,
"lark","crnrunit","Corner Unit","Corner Unit",0.00,09/10/2013,25.00,09/10/2013,25.00,09/10/2013,
"lark","renopremsand","Reno Premium - 1bd Sand","Reno Premium - 1bd Sand",700.00,07/28/2015,700.00,07/28/2015,700.00,07/28/2015,
"lark","renoprem2bd","Reno Premium - 2bd","Reno Premium - 2bd",425.00,07/28/2015,425.00,07/28/2015,425.00,07/28/2015,
"lark","renopremtwn","Reno Premium - TWN","Reno Premium - TWN",450.00,07/28/2015,450.00,07/28/2015,450.00,07/28/2015,
"lark","Garage","Garage","garage",275.00,07/28/2015,275.00,07/28/2015,275.00,07/28/2015,
"lark","Hardwood","Hardwood Floor","Hardwood Floor",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","renopremvoyg","Reno Premium - 1bd Voyg","Reno Premium - 1bd Voyg",325.00,08/19/2015,325.00,08/19/2015,325.00,08/19/2015,
"cove","Hardwood","Hardwood Floor","Hardwood Floor",25.00,05/27/2016,25.00,05/27/2016,25.00,05/27/2016,
"cove","Vaulted","Vaulted Ceilings","Vaulted Ceilings",75.00,05/27/2016,75.00,05/27/2016,75.00,05/27/2016,
"cove","loft","Loft","Loft",0.00,05/27/2016,0.00,05/27/2016,0.00,05/27/2016,
"cove","Endunit","End Unit","End Unit",50.00,05/27/2016,50.00,05/27/2016,50.00,05/27/2016,
"cove","patio","Patio","Patio",0.00,05/27/2016,0.00,05/27/2016,0.00,05/27/2016,
"cove","Wrappedp","Wrapped Patio","Wrapped Patio",50.00,05/27/2016,50.00,05/27/2016,50.00,05/27/2016,
"cove","Audubon","Audubon","Audubon",0.00,05/27/2016,0.00,05/27/2016,0.00,05/27/2016,
"cove","Bayview","Bay View","Bay View",250.00,05/27/2016,250.00,05/27/2016,250.00,05/27/2016,
"cove","Marina","Marina View","Marina View",150.00,05/27/2016,150.00,05/27/2016,150.00,05/27/2016,
"cove","Cityview","City View","City View",300.00,05/27/2016,300.00,05/27/2016,300.00,05/27/2016,
"cove","Poolview","Pool View","Pool View",25.00,05/27/2016,25.00,05/27/2016,25.00,05/27/2016,
"cove","Street","Street View","Street View",-25.00,05/27/2016,-25.00,05/27/2016,-25.00,05/27/2016,
"cove","Partial","Partial View","Partial View",-25.00,05/27/2016,-25.00,05/27/2016,-25.00,05/27/2016,
"cove","Dockview","Dock View","Dock View",-100.00,05/27/2016,-100.00,05/27/2016,-100.00,05/27/2016,
"cove","nowine","No Wine Fridge","No Wine Fridge",0.00,05/27/2016,0.00,05/27/2016,0.00,05/27/2016,
"lark","prtlmntainvw","Partial Mountain View","Partial Mountain View",25.00,08/01/2016,25.00,08/01/2016,25.00,08/01/2016,
"lark","prtlparkview","Partial Park View","Partial Park View",25.00,08/01/2016,25.00,08/01/2016,25.00,08/01/2016,
"lark","bamboo","Bamboo Hardwood Flooring","Bamboo Hardwood Floor",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
"lark","prtllakeview","Partial Lake Facing View","Partial Lake Facing View",25.00,08/01/2016,25.00,08/01/2016,25.00,08/01/2016,
"lark","lakeview","Lake Facing View","Lake Facing View",50.00,08/01/2016,50.00,08/01/2016,50.00,08/01/2016,
