ResRentableItems
Property_Code,Ref_PropertyID,RentableItemType_Code,RentableItem_Code,Description,Rent,Reserved_Until,Reserved_Prospect_Code,Reversed_Tenant_Code
"cove",,"boat","Capt-A","boat slip",150.00,,,
"cove",,"boat","10","boat slip",150.00,,,
"cove",,"boat","11-A","boat slip",150.00,,,
"cove",,"boat","12","boat slip",150.00,,,
"cove",,"boat","13","boat slip",150.00,,,
"cove",,"boat","14-A","boat slip",150.00,,,
"cove",,"boat","15-A","boat slip",150.00,,,
"cove",,"boat","16-A","boat slip",150.00,,,
"cove",,"boat","17-A","boat slip",150.00,,,
"cove",,"boat","18","boat slip",150.00,,,
"cove",,"boat","19","boat slip",150.00,,,
"cove",,"boat","02","boat slip",150.00,,,
"cove",,"boat","20","boat slip",150.00,,,
"cove",,"boat","21","boat slip",150.00,,,
"cove",,"boat","22","boat slip",150.00,,,
"cove",,"boat","23","boat slip",150.00,,,
"cove",,"boat","24","boat slip",150.00,,,
"cove",,"boat","25","boat slip",150.00,,,
"cove",,"boat","26","boat slip",150.00,,,
"cove",,"boat","27-GuestDock","boat slip-Guest Dock",150.00,,,
"cove",,"boat","28","boat slip",150.00,,,
"cove",,"boat","29","boat slip",150.00,,,
"cove",,"boat","03","boat slip",150.00,06/02/2014,"p0002605","tc000072"
"cove",,"boat","30","boat slip",150.00,,,
"cove",,"boat","31","boat slip",150.00,,,
"cove",,"boat","32","boat slip",150.00,,,
"cove",,"boat","33","boat slip",150.00,,,
"cove",,"boat","34","boat slip",150.00,,,
"cove",,"boat","35","boat slip",150.00,,,
"cove",,"boat","36","boat slip",150.00,,,
"cove",,"boat","37","boat slip",150.00,,,
"cove",,"boat","38","boat slip",150.00,,,
"cove",,"boat","39","boat slip",150.00,,,
"cove",,"boat","04","boat slip",150.00,,,
"cove",,"boat","40","boat slip",150.00,,,
"cove",,"boat","Slip","boat slip",150.00,,,
"cove",,"boat","Slip-38","boat slip",150.00,,,
"cove",,"boat","08","boat slip",150.00,,,
"cove",,"boat","15-B","boat slip",150.00,,,
"cove",,"boat","05","boat slip",150.00,,,
"cove",,"boat","16-B","boat slip",150.00,,,
"cove",,"boat","17-B","boat slip",150.00,,,
"cove",,"boat","Capt-B","boat slip",150.00,,,
"cove",,"kayak","SLT-A","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-B","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-C","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-D","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-E","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-F","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-G","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-H","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-I","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-J","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-K","Salt Kayak Stand",0.00,,,
"cove",,"kayak","SLT-L","Salt Kayak Stand",0.00,,,
"cove",,"kayak","CPT-M","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-N","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-O","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-P","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-Q","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-R","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-S","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-T","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-U","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-V","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-W","Captain Kayak Stand",0.00,,,
"cove",,"kayak","CPT-X","Captain Kayak Stand",0.00,,,
"cove",,"Storage","BarbAudo","Barb/Audo 11x9 Storage",350.00,,,
"cove",,"Storage","BarbBld13","Barb/Bld 13 7x7 Storage",175.00,,,
"cove",,"Storage","BarbCity","Barb/City 13x9 Storage",400.00,,,
"cove",,"Storage","BarbCity2","Barb/City 7x9 Storage",200.00,,,
"cove",,"Storage","BarbClub","Barb/Club 8x7 Storage",200.00,,,
"cove",,"boat","Capt-C","boat slip",150.00,,,
"cove",,"boat","Salt-A","boat slip",150.00,,,
"cove",,"boat","Salt-B","boat slip",150.00,,,
"cove",,"boat","Sea-A","boat slip",150.00,,,
"cove",,"boat","Sea-B","boat slip",150.00,,,
"cove",,"boat","06-B","boat slip",150.00,,,
