ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"lark","140-2259","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2260","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2261","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2262","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2327","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2328","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2329","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2330","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2331","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","140-2332","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2307","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2308","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2123","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2124","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2227","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","150-2228","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2139","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2140","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2145","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2146","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2243","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2244","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2249","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","180-2250","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2107","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2108","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2303","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2304","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2207","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","210-2208","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0171","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0172","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0279","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0280","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0317","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","250-0318","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0119","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0120","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0121","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0122","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0115","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0116","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0125","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0126","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0211","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0212","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0215","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0216","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0217","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0218","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0221","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0222","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0305","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0306","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0307","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0308","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","WAITSAND","Rent","Rent","Rent",,,2600.00,08/01/2016,2600.00,08/23/2016,,,
"lark","300-0214","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","300-0220","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","WAITCLIP","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","300-0118","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","300-0124","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","250-0278","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","250-0316","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","250-0276","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2206","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2302","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","250-0168","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","250-0170","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2106","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2202","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2204","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2322","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2324","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2102","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","210-2104","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2252","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2254","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2319","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2245","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2148","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2150","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2248","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2326","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0262","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2144","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","180-2141","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","170-2119","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","170-2221","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","170-2223","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","170-2305","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2229","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2231","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","170-2117","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2125","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2127","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2225","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2309","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","150-2121","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0258","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0260","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0154","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0156","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","110-0310","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","130-0158","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","110-0248","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","110-0146","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","110-0250","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","110-0144","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","100-0202","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","100-0210","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","100-0104","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","100-0112","Rent","Rent","Rent",,,3100.00,08/01/2016,3100.00,08/23/2016,,,
"lark","100-0103","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","100-0111","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","100-0201","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","100-0209","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","110-0145","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","110-0247","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","110-0143","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","110-0249","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0153","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0157","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0155","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","110-0309","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0261","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0259","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","130-0257","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2122","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2310","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2226","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2128","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2126","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","170-2118","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2232","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","150-2230","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","170-2306","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","170-2224","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","170-2222","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","170-2120","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2142","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2143","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2147","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2149","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2246","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2247","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2320","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2321","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2253","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2251","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2105","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2103","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2325","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","180-2323","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2205","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2203","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2101","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2201","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","250-0167","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","250-0169","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","210-2301","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","250-0277","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","250-0275","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","250-0315","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","300-0117","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","300-0123","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","300-0219","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","300-0213","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","WAITMARI","Rent","Rent","Rent",,,3450.00,08/01/2016,3450.00,08/23/2016,,,
"lark","WAITVOYA","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0135","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0136","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0137","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0138","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0139","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0140","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0141","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","900-0142","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0127","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0128","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0129","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0130","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0131","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0132","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0133","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","500-0134","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0173","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0174","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0175","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0176","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0177","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0178","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0179","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","270-0180","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0159","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0160","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0161","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0162","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0163","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0164","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0165","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","230-0166","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2109","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2110","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2111","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2112","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2113","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2114","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2115","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2116","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2129","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2130","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2131","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2132","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2133","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2134","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2135","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2136","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2137","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2138","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2233","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2234","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2235","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2236","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2237","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2238","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2239","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
