ResUnitTypes
UnitType_Code,Ref_Property_ID,Property_Code,Description,Rent,SQFT,Beds,Baths,Deposit,MinimumRent,Maximim_Rent,UserDefined_1,UserDefined_2,UserDefined_3,UserDefined_4
"lark_lsa",,"lark","Sandpiper",2600.00,708.000000,1,1.000000,99.00,0.000000,0.000000,,"1905",,"500"
"lark_lsb",,"lark","Clipper",3100.00,896.000000,2,1.000000,99.00,0.000000,0.000000,,"2150",,"650"
"l-lsb1",,"lark","Mariner",3450.00,946.000000,2,2.000000,99.00,0.000000,0.000000,,,"2390","650"
"l-lsa1",,"lark","Voyager",3025.00,772.000000,1,1.000000,99.00,0.000000,0.000000,,,,
"l-lsb2",,"lark","Caspian",3650.00,1096.000000,2,2.000000,99.00,0.000000,0.000000,,,"2705","650"
"ismisc",,"lark","Miscellaneous",0.00,0.000000,0,0.000000,0.00,0.000000,0.000000,,,,
"common",,"lark","Common area",0.00,0.000000,0,0.000000,0.00,0.000000,0.000000,,,,
"1-a",,"cove","Res #1 - 1X1",1928.00,595.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1-b",,"cove","Res #2 - 1X1",1972.00,635.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1-c",,"cove","Res #3 - 1X1",2009.00,640.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1-d",,"cove","Res #4 - 1X1",2088.00,660.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1d-a",,"cove","Res #6 - 1X1.5 DEN",3485.00,980.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1d-c",,"cove","Res #7 - 1X1.5 DEN",2727.14,1020.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1d-d",,"cove","Townhome #1 - 1X1.5 Loft",3537.29,1140.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1-e",,"cove","Res #5 - 1X1",2306.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"2-a",,"cove","Res #8 - 2X1.5",2682.44,1020.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2-b",,"cove","Res #9 - 2X2",4300.00,1080.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2-d",,"cove","Res #10 - 2X2",3424.83,1300.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2d-a",,"cove","Res #11 - 2x2",3738.90,1375.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2d-b",,"cove","Res #12 - 2X2 DEN",3460.86,1375.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2-e",,"cove","Res #13 - 2X2",3750.14,1310.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2th-a",,"cove","Townhome #2 - 2X2 TH",2491.33,1075.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2th-c",,"cove","Townhome #3 - 2X2 TH",2775.00,1275.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2th-d",,"cove","Townhome #4 - 2X2.5 TH",3293.00,1335.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"3-b",,"cove","Res #14 - 3X2",4580.80,1500.000000,3,2.000000,0.00,0.000000,0.000000,,,,
"3-c",,"cove","Res #15 - 3X2",4941.00,1500.000000,3,2.000000,0.00,0.000000,0.000000,,,,
"3th-a",,"cove","Townhome #5 - 3X2 TH",3702.75,1335.000000,3,2.000000,0.00,0.000000,0.000000,,,,
"misc",,"cove","Rentable Items",0.00,0.000000,0,0.000000,0.00,0.000000,0.000000,,,,
"th-3",,"cove","Townhouse 3 - 2x2.5",5100.00,1275.000000,2,2.500000,0.00,0.000000,0.000000,,,,
"th-2",,"cove","Townhouse 2 - 2x1.5",4400.00,1075.000000,2,1.500000,0.00,0.000000,0.000000,,,,
"1x1-a",,"cove","Res 1A - 1X1 (1a)",3045.00,595.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1x1-b",,"cove","Res 1B - 1X1 (1b)",3200.00,635.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1x1-c",,"cove","Res 1C - 1X1 (1c)",3200.00,640.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1x1-d",,"cove","Res 1D - 1X1 (1d)",3230.00,660.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1x1-e",,"cove","Res 1G - 1X1 (1g)",3320.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"1x1.5lof",,"cove","TH 1 - (1x1.5 Loft/Den)",4130.00,1140.000000,1,1.500000,0.00,0.000000,0.000000,,,,
"2x1.5th",,"cove","TH 2 - (2x1.5)",4200.00,1075.000000,2,1.500000,0.00,0.000000,0.000000,,,,
"2x2-a",,"cove","Res 1E - 2x2 (1e-d)",4200.00,980.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2x2-b",,"cove","Res 1F - 2X2 (1f-d)",4570.00,1020.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2x2-c",,"cove","Res 2A - 2X2 (2a)",4675.00,1020.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2x2-d",,"cove","Res 2B - 2X2 (2b)",4725.00,1080.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2x2-e",,"cove","Res 2C - 2X2 (2c)",4830.00,1300.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"2x2-f",,"cove","Res 2F - 2X2 (2f)",4830.00,1310.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"3x2.5th",,"cove","TH 4 - (3x2.5)",6250.00,1335.000000,3,2.500000,0.00,0.000000,0.000000,,,,
"3x3-a",,"cove","Res 2E - 3X3 (2e-d)",5925.00,1375.000000,3,3.000000,0.00,0.000000,0.000000,,,,
"3x3-b",,"cove","Res 2D - 3x3 (2d)",5820.00,1375.000000,3,3.000000,0.00,0.000000,0.000000,,,,
"3x3-c",,"cove","Res 3A - 3X3 (3a)",6765.00,1500.000000,3,3.000000,0.00,0.000000,0.000000,,,,
"3x3-d",,"cove","Res 3B - 3X3 DEN (3b)",6765.00,1500.000000,3,3.000000,0.00,0.000000,0.000000,,,,
"2x2.5th",,"cove","Townhome 2x2.5",4305.00,1275.000000,2,2.500000,0.00,0.000000,0.000000,,,,
"2x2.5ath",,"cove","Townhome 2x2.5a",5670.00,1335.000000,2,2.500000,0.00,0.000000,0.000000,,,,
