ResManageRentableItems
Property_Code,Ref_Property_ID,Tenant_Code,Ext_Ref_Resident_Id,RentableItemType_Code,RentableItem_Code,Lease_From,Lease_To
"cove",,"t0000092",,"boat","10",07/01/2012,
"cove",,"t0000088",,"boat","11-A",07/01/2012,12/31/2015
"cove",,"t0000085",,"boat","17-A",07/01/2012,
"cove",,"t0000087",,"boat","22",07/01/2012,04/30/2015
"cove",,"t0000094",,"boat","28",06/01/2012,
"cove",,"t0000089",,"boat","15-B",07/01/2012,03/31/2016
"cove",,"t0615889",,"Storage","BarbCity2",06/03/2016,
"cove",,"t0630393",,"Storage","BarbClub",02/12/2016,
"cove",,"t0000086",,"boat","Sea-A",07/01/2012,
"cove",,"t0000092",,"boat","06-B",07/01/2012,
"cove",,"t0000076",,"boat","07",07/01/2012,04/30/2015
"cove",,"t0000091",,"boat","09",07/01/2012,
"cove",,"t0007460",,"Storage","Salt",03/25/2016,04/15/2016
"lark",,"t0002951",,"Bikerack","01",09/01/2016,
"lark",,"t0007878",,"Bikerack","11",01/18/2016,
"lark",,"tn137649",,"Bikerack","14",01/12/2016,
"lark",,"t0002912",,"Bikerack","15",01/11/2016,
"lark",,"t0003031",,"Bikerack","16",01/14/2016,
"lark",,"t0616809",,"Bikerack","17",04/12/2016,
"lark",,"t0636544",,"Bikerack","18",07/22/2016,
"lark",,"t0002955",,"Bikerack","02",01/18/2016,
"lark",,"tn140725",,"Bikerack","20",01/13/2016,
"lark",,"t0626988",,"Bikerack","21",01/26/2016,
"lark",,"t0633238",,"Bikerack","22",07/20/2016,
"lark",,"tn132251",,"Bikerack","23",07/19/2016,
"lark",,"t0628322",,"Bikerack","24",02/12/2016,
"lark",,"t0617324",,"Bikerack","03",01/21/2016,
"lark",,"t0627301",,"Bikerack","04",01/11/2016,
"lark",,"tn139542",,"Bikerack","05",05/01/2016,
"lark",,"tn126910",,"Bikerack","06",02/15/2016,
"lark",,"tn129035",,"Bikerack","07",02/15/2016,
"lark",,"tn133079",,"Bikerack","09",01/13/2016,
"lark",,"tn132273",,"wineroom","Wine06",08/19/2016,
"lark",,"t0630807",,"wineroom","Wine07",08/04/2016,
"lark",,"t0003031",,"wineroom","Wine08",08/03/2016,
"lark",,"t0628899",,"wineroom","Wine09",08/03/2016,
"lark",,"t0631553",,"wineroom","Wine10",08/03/2016,
"lark",,"t0637266",,"wineroom","Wine11",08/03/2016,
"lark",,"t0641312",,"wineroom","Wine14",08/09/2016,
"lark",,"t0007927",,"wineroom","Wine15",07/30/2016,
"lark",,"t0631423",,"wineroom","Wine16",07/26/2016,
"lark",,"t0632257",,"wineroom","Wine18",07/22/2016,
"lark",,"t0628226",,"wineroom","Wine19",,
"lark",,"t0003216",,"wineroom","Wine20",07/26/2016,
"lark",,"tn140725",,"wineroom","Wine21",07/27/2016,
